Department,NO,Name,Credit,Description
EDCI,606,"Cognition, Culture and Literacies",3,"Exploration of complex interrelationships among cognition, culture, and literacies and their implications for education. Prerequisite: Graduate classification."
EDCI,609,Analysis and Reporting for Records of Study,3,"Analysis of field-generated and existing data, classroom observations, empirical tests, and discussions; links theoretical and practical educational theory to analyses of qualitative and quantitative data; teacher-leaders interpretation of classroom phenomena using research-based theories for teaching and learning. Prerequisites: Graduate classification; EPSY 635 or equivalent."
EDCI,610,Second Language Assessment and Development,3,Second language assessment and development stressing classroom situations to teach second language acquisition. Prerequisite: Graduate classification.
EDCI,611,Teaching English as a Second Language,3,"Translation of theory into practice stressing various methods and techniques in ESL; relationship of language development, culture and conceptual processes to language teaching. Prerequisite: Graduate classification."
EDCI,612,Bilingual/ESL Content-Area Instruction,3,"Integrating English language instruction with content-based ESL instruction in science, mathematics and social sciences for non-English speaking students. Prerequisite: Graduate classification."
EDCI,614,ESL for International and Intercultural Settings,3,International and intercultural teaching practices with major emphasis on second language instruction in an international setting. Prerequisite: Graduate classification.
EDCI,615,Classroom Practice in Adult ESL,3,"Literacy practice issues in adult ESL literacy leading to assessment, instructional planning, curriculum development and program evaluation. Prerequisite: Graduate classification."
EDCI,617,Early Childhood Mathematics and Science,3,Development of mathematical and science concepts in young children from developmental and scientific perspectives. Prerequisite: Graduate classification.
EDCI,619,Teaching and Learning Number and Quantity Concepts,3,"Examination of the content, pedagogy, technology, and research on teaching and learning concepts on number and quantity concepts; discussion of contemporary issues in K-12, standards and assessment."
EDCI,620,"Science, Technology, Engineering and Mathematics (STEM) Teaching and Learning",3,Examination of integrated and multidisciplinary practice-based pedagogies; building of interdisciplinary bridges among content areas; melding sociocultural and cognitive factors influencing STEM education across K-12 levels; discussion of underrepresented groups binding best practices; development and evaluation of STEM project-based learning. Prerequisite: Graduate classification.
EDCI,621,"Teaching and Learning Space, Dimension, and Measurement Concepts",3,"Examination of the content, pedagogy, technology, and research on teaching and student learning concepts on space, dimension, and measurement concepts. Discussion of contemporary issues in K-12, standards and assessments."
EDCI,622,Theories of Learning and Teaching Mathematics,3,"Theoretical bases of the learning and teaching of mathematics, including an examination of the research which supports the theoretical bases."
EDCI,623,Teaching and Learning Pattern and Change Concepts,3,"Examination of the content, pedagogy, technology, and research on teaching and learning concepts on skills in algebra, functions and calculus. Discussion of contemporary issues in K-12, standards and assessment."
EDCI,624,"Assessing Cognitive, Conceptual, and Fluency Structures Related to Learning and Teaching Mathematics",3,Examines diagnostic and assessment procedures in mathematics and their potential for identifying problem areas related to children's acquisition of mathematical skills; number and quantity concepts. Prerequisite: Graduate classification.
EDCI,625,Teaching and Learning Mathematics with Diverse Learners,3,Examining diagnostic and assessment procedures in mathematics and their potential for identifying problem areas related to children's acquisition of mathematical skills; number and quantity concepts. Prerequisite: EDCI 624.
EDCI,627,Teaching and Learning Data Analysis and Uncertainty Concepts,3,"Examination of the content, pedagogy, technology, and research on teaching and student learning of concepts and skills in probability, statistics, and discrete mathematics; discussion of contemporary issues and K-12 curriculum, standards and assessment. Prerequisite: Graduate classification."
EDCI,628,Analyzing and Reporting Field Based Research,3,"Analyze data from classroom observation, empirical tests and interviews; link theoretical and practical mathematics education to analysis of qualitative and quantitative data; equip teacher-leaders and researchers with the resources to interpret classroom phenomena from the research perspective using research-based theories of teaching and learning. Prerequisite: Graduate classification."
EDCI,629,Benchmarks in Urban Education,3,"Identifies, analyzes, and applies benchmarks in urban education using research findings. Prerequisites: Doctoral classification; urban education emphasis or approval of instructor; concurrent enrollment in EDCI 637."
EDCI,630,Urban Education,3,"Develops a knowledge base in urban education; share and discuss theoretical and conceptual frameworks that permeate city schools; examines historical perspective, pedagogical knowledge and insights of urban educational experiences. Prerequisites: Graduate classification; urban education emphasis; concurrent enrollment in EDCI 648; or approval of instructor."
EDCI,631,Mentoring the Novice Educator,3,"To prepare the ""teaching"" graduate student to observe, evaluate, and reflect upon teaching, mentoring, communication, and supervision skills that support the novice or pre-service teacher with tools necessary to be successful. Examine research related to effective mentoring and supervising strategies and behaviors in environments which support mentoring behavior. Prerequisite: Graduate classification."
EDCI,632,Program Evaluation in Curriculum and Instruction,3,"Program evaluation, investigating its purposes and procedures, with attention to settings, personnel and performance; review of standards, principal theories and models; study of histories, political contexts, ethics and the nature of evidence. Prerequisite: Graduate classification."
EDCI,633,Educator as Learner,3,"Designed to challenge the graduate learner as one who studies metacognition, working to understand how self and others process learning, maximize application of learning and evaluate the meaning of learning; for students working with others in a role of mentor, supervisor, administrator or coach in a PK-12 setting. Prerequisite: EDCI 631."
EDCI,634,Reflective Inquiry,3,"Explores the differences and unique characteristics of moral, multiperspective, collaborative, deliberative, autobiographical, and critical inquiries, and reflective practice related to all forms of inquiry; analyzes the implications of educator growth through reflective practices and the part that reflection plays in developmental growth and professional development. Prerequisite: Graduate classification."
EDCI,636,Educator as Researcher,3,"Develops action research skills to enable them to critically analyze insights into the historical, philosophical and social foundations of reflective teaching and leadership in educational environments. Includes an analysis of theories, methodologies, implications and actions related to educational action research. Prerequisite: Graduate classification."
EDCI,637,Urban Education: Policy and Analysis,3,"Urban education policy making processes, emphasis on interaction between politics and educational policy. Prerequisites: Doctoral classification; emphasis in urban education or approval of instructor; concurrent enrollment in EDCI 629."
EDCI,638,Trends in Curriculum and Instruction,3,"Recent research and development in theories and practices of curriculum and instruction; curriculum innovations, school organization and new instructional media."
EDCI,639,Grant Writing for Professional Development,3,"Focus on the skills necessary to address a Request for Proposal (RFP) through the development and writing of a competitive funding proposal; attention to the process of identifying foundation, public, and corporate funding opportunities available to support specific programmatic needs/areas. Prerequisite: Graduate classification."
EDCI,640,Language/Literacy for Bilingual/Multicultural Young Learners,3,Critical multicultural perspectives on the acquisition and development of communication skills by young children who represent bilingual and multicultural backgrounds; critique of language development practices as applied in education settings with young children. Prerequisite: Graduate classification.
EDCI,641,The African American Learner in Urban Settings,3,"Supports graduate level students in locating, reviewing, synthesizing, and analyzing research on the African American learner in urban settings. Prerequisites: Doctoral classification; urban education emphasis; or approval of instructor."
EDCI,642,"Multicultural Education: Theory, Research and Practice",3,"Theory and research that undergirds the discipline of multicultural education by exploring the philosophical, anthropological and psychological theoretical frameworks. Prerequisite: Graduate classification."
EDCI,643,Teaching in Urban Environments,3,"Provide educators with historical perspectives, pedagogical knowledge and insights concerning educational experience of teachers and learners in urban environments. Will address cognitive, psychomotor and affective aspects of teaching and learning in urban environments. Prerequisite: Graduate classification."
EDCI,644,Curriculum Development,3,"Curriculum development; bases of curriculum design; problems of balance, scope, organization, sequence, selection and articulation."
EDCI,645,Society and Education in World Perspective,3,Comparative education; interrelationships among societal institutions and particular roles that education plays in different cultures and political systems.
EDCI,646,Instruction Theory,3,Theoretical basis for research and training in instruction; systematic study of existing research on key factors influencing instructional effectiveness. Exploration of interaction among variables of instruction. Doctoral level only.
EDCI,647,Curriculum Theory,3,"Theoretical basis for curriculum conceptualization, development, evaluation and implementation; value and empirical basis of curriculum decision-making strategies for curriculum change. Doctoral level only."
EDCI,648,Urban Schools and Communities,3,"Sociological, historical, philosophical, anthropological, and political dimensions of urban schools and community change; issues and contexts grounded in core disciplines of social sciences. Prerequisites: Graduate classification."
EDCI,650,The Bilingual/Multicultural Young Child in Family and Culture,3,"Bilingual/multicultural notions of family/culture as foundations for learning/anthropological investigation including cross-cultural comparisons of western concepts of ""child"" and ""parenting;"" critique of various constructions of child as learner within family context and monocultural perspectives of ""developmentally appropriate"" educational practice. Prerequisite: Graduate classification."
EDCI,651,Bilingual/Multicultural Early Childhood Education,3,"Historical/current models of early childhood curriculum/methodology as a foundation for the more critical analysis of curriculum as social construction, grounded within values of a particular society or culture; bilingual/multicultural views of early childhood education, curriculum and teaching strategies requiring constant examination. Prerequisite: Graduate classification."
EDCI,652,Parental Involvement in Early Childhood Education,3,"Dynamics of the family unit, school-home communication systems, legalities of parent participation in the school, parent involvement, parent training and home bound programs; development of programs with parents."
EDCI,653,Education Policy for Language-Minority Children,3,"Analysis of language planning, educational policies and instructional models in the U.S. and internationally for the education of young language-minority students. Prerequisite: Graduate classification."
EDCI,654,Organization and Operation of Early Childhood Education Programs,3,"Comprehensive survey of the various types of preschool centers serving the needs of young children; operating procedures, programs and services provided; experimental educational research projects now being conducted with young children."
EDCI,655,Contemporary Visual Culture,3,"Interdisciplinary investigation of visual culture and related cultural, social, political, digital, ontological, and educational issues, theories, and production and consumption practices in the postmodern era; examination of contemporary visual culture as a site of critical inquiry that promotes social justice, cultural work, and democratic pedagogy. Prerequisite: Graduate classification."
EDCI,656,Learning Theories for Teachers of Young Children,3,"Educational applications developed from theory and research of young learners, specifically the processes of learning. Prerequisite: Graduate classification."
EDCI,658,History of Education,3,The genesis of formal education in the Western world beginning with the ancient Greeks and working through the Enlightenment; tracing the idea that schooling is a fundamental part of human existence and therefore crucial to all questions concerning the human condition. Prerequisite: Doctoral classification or approval of instructor.
EDCI,659,History of American Education,3,"The social and institutional role of public education in the United States from 1789 to the present; including clarification of the political and economic underpinnings that have worked catalytically to change the structure of public education in terms of philosophy, methods and curricula. Prerequisite: Doctoral classification or approval of instructor."
EDCI,660,Research Investigating the Science Teacher Professional Continuum in Texas,3,"Reviews general features and investigates aspects of the science teacher professional continuum (TPC), including recruitment, retention, induction, mentoring, professional development, professional culture, and reformed practice; uses extant data sets in TPC research, including literature review, conceptual framework development, research proposal, IRB approval, data analysis, and making conclusions. Prerequisite: Graduate classification in EDCI or approval of instructor."
EDCI,661,Mixed Methods Research in Curriculum and Instruction,3,"Introduction to mixed methods research, including a brief history of approaches to educational research; comparison of scientific research and educational research; specific designs and methods for mixing qualitative and quantitative approaches in data collection, analysis, and synthesis. Prerequisite: Graduate classification."
EDCI,662,Philosophical Theories of Education,3,"Selected historical theories of education from Plato to Skinner; evaluating educational ends and means; the nature of knowledge, its acquisition and transmission. Doctoral level only."
EDCI,663,Scientific Inquiry in K-16 Classrooms,3,"Theory and research on the integration of scientific inquiry into classroom instruction in K-16 learning environments, emphasizing curriculum decision-making, alignment, and design across the K-16 continuum."
EDCI,665,Science and Mathematics Curricula,3,"Critical exploration of the trends and issues in school science and mathematics programs; consideration of the foundations and strategies for the design, selection, and evaluation of mathematics and science curricula."
EDCI,667,Research and Foundations of Science Education,3,"Analysis of research in science education which relates the historical and philosophical basis of science and science teaching; emphasis on implications for improved instruction, especially on the nature of science, its relation to other disciplines, and student understanding of the scientific way of knowing."
EDCI,668,History and Culture of Science Education: 1900 to Present,3,"Science education as a discipline, profession, culture and a component in the education of K-16 students during the last 100 plus years in the United States and selected developed nations. Prerequisite: Graduate classification."
EDCI,669,Science Education in Sociological Context,3,"Explores science and its endeavors from a sociological perspective in order to make inferences on school science practice and science teaching; discusses the social context of disciplinary knowledge, problems of experimentation and scientific measurement, originality, cognitive particularism, collectivization of science, and peer review. Prerequisite: Graduate classification."
EDCI,670,Social Studies in Elementary and Secondary Education,3,"Methodology course focusing upon the implementation, both practical and theoretical, of the objectives of social studies: current trends, resource materials, demonstrations of teaching methods."
EDCI,671,How People Learn Science,3,"The study of science learning and epistemology, centered upon the essays ""How People Learn and How Students Learn Science;"" reviewing and discussing learning science design strategies and theories of learning science in light of understanding and advancing students' learning, classroom interactions, and the organization of schools. Prerequisite(s): Graduate classification."
EDCI,673,Analysis of Teaching Behavior,3,Identification of beliefs and assumptions regarding teaching; review of research on teacher effectiveness; alternative methods for gathering data regarding dimensions of teaching behavior; development of teacher analysis systems.
EDCI,675,Teaching Strategies: Patterns of Learning,3,"Learning and teaching theory and research applied to development of teaching strategies appropriate for various contents, objectives and instructional situations; variables influencing learner behavior and approaches to optimization of teacher behavior. Prerequisite: EPSY 602 or EPSY 673 recommended."
EDCI,676,Evaluation and Implementation of Electronic Learning Materials,3,Principles of instructional design applied to electronic materials adoption and organizational management for implementation of eLearning resources; Emphasis on guidelines for selecting and evaluating eLearning resources addressing individual learner needs using online delivery platforms. Prerequisite: Graduate classification.
EDCI,677,Strategies for Teaching in a Culturally Pluralistic Society,3,"Research concerning the cognitive, psychomotor and affective aspects of learning and teaching among culturally diverse learners; practical applications to curriculum and instruction."
EDCI,680,Proseminar,1,"Structured seminar on major concepts, principles and issues in education drawn and analyzed from various contributing theoretical and research bases. Critical new developments incorporated as they occur. Required of all Ed.D. students. May be repeated for credit. Prerequisite: Approval of instructor."
EDCI,681,Seminar,1,"Professional roles and responsibilities, research, special topics and other issues relevant to master's and doctoral students in curriculum and instruction."
EDCI,682,Seminar in...,1,"Knowledge, skills and attitudes in educational curriculum and instruction. Specific topics will be assigned for each seminar as it is offered. May be repeated for credit."
EDCI,683,Field Practicum,3,"Designed to provide supervised experiences based upon a theoretical framework in profession settings related to the work of teaching, learning and culture; practical experiences closely supervised by the department faculty. Prerequisite: Approval of instructor."
EDCI,684,Professional Internship,6,"On-the-job training for educational curriculum and instruction majors under the supervision of successful, experienced personnel from the University; conducted in a setting appropriate to the student's projected career aspirations and areas of specialization."
EDCI,685,Directed Studies,4,Directed individual study of selected problems in the field of education.
EDCI,686,Research Methods in EDCI I,3,"Framework for understanding distinctions among research methodologies used in the field of curriculum and instruction; includes classes of research questions, methods of collecting and decisioning evidence, theoretical assumptions, strengths, weaknesses, and the work of major proponents. Prerequisite: Admission into TLAC doctoral program."
EDCI,687,Research Methods in EDCI II,3,"Framework for understanding distinctions among research methodologies used in the field of curriculum and instruction; includes classes of research questions, methods of collecting and decisioning evidence; basic principles of descriptive and inferential statistics and their application in context of various research paradigms. Prerequisite: EDCI 686."
EDCI,688,Research Methods in EDCI III,3,"Framework for understanding distinctions among research methodologies used in the field of curriculum and instruction; includes classes of research questions, methods of collecting and decisioning evidence; basic principles of multivariate statistics and their application in context of various research paradigms. Prerequisite: EDCI 687."
EDCI,689,Special Topics in...,4,Selected topics in an identified area of curriculum and instruction. May be repeated for credit.
EDCI,690,Theory of Curriculum and Instruction Research,3,Theory and design of research problems and experiments in various subfields of curriculum and instruction; communication of research proposals and results; evaluation of current research of faculty and student and review of current literature. May be repeated for credit.
EDCI,691,Research,3,Research for thesis or dissertation.
EDCI,692,Professional Study,3,"Approved professional study of project undertaken as the terminal requirement for doctor of education degree. Preparation of a record of study summarizing the rationale, procedure and results of the completed project. Prerequisite: Approval of major advisor."
EDCI,701,Elementary Science Instructional Strategies and STEM Learning,3,Development of engaging STEM activities using inquiry and project-based learning approaches; creation of appropriate assessments for STEM activities and integrated STEM learning units. Prerequisite: Graduate classification.
EDCI,702,Elementary Mathematics Instructional Strategies and STEM Learning,3,"Teaching models and the design of elementary mathematics instruction for digital age learners; emphasis on inquiry learning models in science, technology, engineering and mathematics (STEM). Prerequisite: Graduate classification."
EDCI,710,The Hispanic Learner in Urban Settings,3,"Overview of demographic, social, psychological, cultural, political and historical issues that impact the school achievement of Hispanics in urban settings in the US.; analyzes methodological approaches of current research that guides common perceptions about Hispanics in education. Prerequisite: Graduate classification."
EDCI,711,Theory and Application of Classroom Instructional Strategies,3,"Exploration of the basic principles of curriculum and instruction as applied to five to twelve year old learners; examination of traditional and innovative teaching strategies; focuses on planning curriculum and instruction through planning and utilizing materials, methods, activities, and facilities. Prerequisite: Graduate classification or approval of instructor."
EDCI,751,Problem-Based Research Frameworks,3,Introduction to scientific research associated with problems in K-12 curriculum and instruction settings; evaluation and problem solving for effective solutions to educational problems in school-based settings. Prerequisite: Graduate classification and admission to online EdD in EDCI.
EDCI,754,Trends in Data Management and Analysis,3,Understanding of basic principles behind modern data management and analysis; exploration and analysis of data to identify school improvement needs and make informed decisions in effecting change. Prerequisites: Graduate classification; admission to Online Ed.D. in Curriculum and Instruction.
EDHP,500,Teaching and Learning Theory,3,"This course explores educational theories and practices foundational to classroom, simulation and clinical learning.  Emphasis is placed on practical application of teaching/learning theory in classroom, simulation, and clinical learning environments promoting the transfer of theory to practice.  Students will demonstrate knowledge of teaching and learning theories impacting curriculum design relevant to the health care educator."
EDHP,501,Curriculum Design,3,"Various models of curriculum development and design based on educational philosophy and professional standards will be investigated.  Students will demonstrate knowledge of program development including scope and sequence, curriculum alignment, and mapping.  Program development through topic identification and generation of content outlines/syllabi, objectives, and outcome measures are included in this course. Cross Listing: NURS 501/EDHP 501."
EDHP,502,Assessment and Evaluation in Education,3,"Practical and theoretical issues involved in evaluating student performance, teacher performance and educational programs will be explored. Students will explore various means of performance-based assessments applicable to didactic, simulated and clinical learning environments. Students will examine a variety of assessment instruments and strategies and the role each has in the evaluation process. The course will enable students to plan, execute and interpret educational assessments. Cross Listing: NURS 502/EDHP 502."
EDHP,503,Teaching Strategies,3,"Best practices research on instructional pedagogy and adult learning will be examined. The course focuses on recommended principles, concepts and theories used in practice that create effective learning environments. Teaching strategies responsive to diverse learning styles and needs of learners will be explored as well as reflective practices and self-assessment. A variety of practical classroom, simulation and clinical teaching strategies consistent with current evidence will be discussed emphasizing teaching methods using technology. Cross Listing: NURS 503/EDHP 503."
EDHP,504,Teaching Practicum,2,"This course focuses on the integration of education role theory and practice with socialization into the role of educator.  It includes a faculty and preceptor-guided practicum with experiences in the application of the health profession's role as an educator in selected academic and healthcare settings.  The course also includes experiences in the classroom as well as the clinical area (academic or staff educator) in nursing, medicine, dental, public health and pharmacy as desired by the health profession."
EDHP,505,Thesis,3,"This course will guide students throughout the process of conducting a study and writing a manuscript. Coursework will include developing a research proposal from topic and title selection to citing the significance of the research, reviewing related literature, explaining the methodology and results, and defending the work."
EDHP,506,Project,3,Process of conducting a clinical or educational research project; includes development of a proposal from optic and title selection to citing the significance of the project; reviewing related literature; explaining the methodology and conducting research to the degree appropriate.
EDHP,520,Advanced Innovative Teaching Strategies,3,"This course is designed to facilitate the development, implementation, and assessment of instructional innovations in the health professions educational environment. Students will engage in active learning practices as they analyze, critique, and discuss teaching strategies. The integration of educational technology in the instructional process will also be examined."
EDHP,521,"Curriculum Management, Leadership and Evaluation",3,"This course is composed of three specific parts. Curriculum Management will focus on developing plans related specifically to how to lead, manage current curriculum, and affect changes for the institution by educational mission. Leadership in Health Professions Education will introduce multiple concepts and theories regarding leadership approaches and how to apply the concepts in healthcare professions. The Learner Assessment and Program Evaluation portion will explore avenues of high quality, effective learner assessment and identify program performance, gaps and the process for improvement."
EDHP,522,Research and Design Analysis,4,"This course will focus on the design of research studies in health professions education. Students will learn the principles of research design, become familiar with different types of designs, and analyze the strengths and weaknesses of study designs. The general principles of research design will be investigated, implemented, and practiced."
EDHP,523,Educational Research Design Practicum,2,"This course is a hand-on, practicum experience which offers learners the opportunity to develop a research plan and carry it through to IRB submission. Research plan development includes considerations of research design, data collection, and data analysis. A review of the literature will be required. Completion of the research plan is required for course credit. Faculty facilitation will occur online, in person, or via email. This elective may be taken more than once, to allow for further project development. Milestones must be met to earn credit."
EDHP,524,Manuscript Development Practicum,2,"This course is a hands-on, practicum experience which offers learners the opportunity to develop a medical education research paper and abstract suitable for submission to a peer-reviewed journal and/or conference. A comprehensive review of the literature will be required. Faculty facilitation will occur online, in person, or via email. Prerequisite: Prior or concurrent learner involvement in an educational study, where data collection and analysis have already taken place."
EDHP,685,Directed Studies,3,Individual pursuit of specific problems involving application of theory and practice in the various disciplines of healthcare education. May be taken three times for credit. Prerequisite: Graduate classification and approval of instructor.
EDHP,691,Research,3,Student research initiative within the scope of the project/thesis. This course is designed to provide students with additional time and support to complete the thesis or project and to maintain continuous enrollment. This course may be repeated for a maximum of three credits. Prerequisite: Completion of the thesis course and approval by student by advisory committee and the EDHP director.
EDTC,345,Microcomputer Awareness for Educators,3,"Focus on both teacher and student utilization; overview of computer operations and instructional integration of word processor, database, spread sheet, and graphics utilities; telecommunications and Internet functions and resources accessed and developed; includes the design, development, and evaluation of instructional materials and integration of MultiMedia and HyperText resources and techniques. Prerequisite: Junior classification."
EDTC,489,Special Topics in...,4,Selected topics in an identified area of educational technology. May be repeated for credit. Prerequisite: Approval of instructor.
EDTC,602,"Educational Technology: Field, Theory and Profession",3,"Introduction to the field of educational technology, including media, instructional design, theory and research; exploration of the history and future direction of the field; careers in educational technology through interaction with professionals currently working in the field. Prerequisites: EDTC Major; approval of instructor."
EDTC,608,Foundations of Distance Learning,3,"Communication theory, learning theories, and systems theory related to distance learning; application of effective and efficient instructional methodologies to educational/instructional settings via multiple distance education technologies and techniques. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,613,Integrating Technology in Learning Environments,3,"Develops a broad understanding of what is involved in designing technology rich environments to support active learning; examines the integration of human learning theories with instructional design and development practices in the selection, preparation, evaluation, and ethics of instructional technology implementation."
EDTC,621,Graphic Communication and Interface Design,3,"Effective communication using visual channel humans use to process information; application of research findings and design principles to the effective design of graphical displays to communicate functionality and structure; critical analysis of the interfaces of everyday objects and e-learning resources; includes flawed interfaces, elegant design solutions, user-centered design and usability. Prerequisites: Graduate classification; approval of department head."
EDTC,631,Educational Video,3,"Design and development of educational videos using choice of video edition program; experience the entire process of developing educational videos, from concept to finished project; emphasis on instructional message design, treatment, and storyboarding. Prerequisites: Graduate classification; approval of instructor."
EDTC,641,Educational Game Design,3,"Formal and dramatic elements of successful non-educational games for principles of effective game design; application principles to the critique of existing educational games; examination commercial games originally designed for entertainment and their use to address educational objectives; games through the lens of multiple theories of learning and motivation, including situated cognition, flow, and systems theory. Prerequisites: Graduate classification; approval of department head."
EDTC,642,Designing for Mobile Learning,4,"Introduction to basics of designing educational applications for mobile devices; emphasis on instructional, visual and human- computer interaction design principles; hands-on design and development work combined with a theoretical approach to designing learning experiences; previous programming experiences not required. Prerequisites: Graduate classification; approval of department head."
EDTC,645,Emerging Technologies for Learning I,3,Evaluation of emerging trends and technologies and their impact on learning and performance; emphasis on technologies currently being adopted in organizations and driving changes in education; hands-on activities examining multiple technologies and identifying best practices. Prerequisites: Graduate classification; approval of department head.
EDTC,646,Emerging Technologies for Learning II,3,Critical examinations of trends and technologies expected to have an impact on learning and performance over the next five years; educational futurist predictions; key factors to consider in adoption/integration decisions; theoretical and technological underpinnings; hands-on activities field of interest. Prerequisites: Graduate classification; approval of department head.
EDTC,651,E-Learning Design and Development,3,"Design and development of stand-alone instructional programs for independent learning; consideration of research-based principles for the design of these programs, including guidelines for design decisions related to rich media, navigation, learner/program control, practice, interactivity and feedback; application of these principles to design and develop a program on a topic of choice; use of Adobe Captivate and image editing software. Prerequisite: Approval of instructor."
EDTC,654,Instructional Design: Techniques in Educational Technology,3,"Introduces systems approach to instructional design with focus on the functions of systems models in planning, developing and evaluating instruction; use of instructional development models which systematically assure proper instructional design; participants will develop instructional products individually and in groups; a strong theoretical foundation utilized. Prerequisite: Approval of instructor and department head."
EDTC,655,Instructional Design II,3,"Preparation for leadership in instructional design through exploration of project management, needs assessment, goal analyses, rapid prototyping, problem-based learning, case-based learning, design of learning objects, ID for international audiences, instructional materials and program evaluation; theories that contribute to the field. Prerequisites: Graduate classification; approval of department head; EDTC 654."
EDTC,656,Computer Graphics: Educational Applications and Production Techniques,3,"Computer graphics production used in the development of educational materials; acquired skills and knowledges applied to the student's interest area with respect to theoretical and research issues relating to the effective instructional use of print and computer-based instructional materials; techniques include digitizing, image-processing and animation. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,660,Interactive Video/Multimedia: Production and Utilization,3,"Principles and techniques of interactive video/multimedia design and production; practical applications of media (video, digitized video and audio) production techniques and instructional control programs utilizing authoring software; produce materials for interactive instructional programs involving features such as: CD-ROM video and audio, simulations, interactive digital movies, web-based delivery, etc. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,662,Computer Utilization in Educational Research and Practice,3,"Use of computers for application in educational and research settings; activities include student/subject monitoring, hardware use and design, automatic data collection; data storage, retrieval, transmission and analysis; web-based research formats are included; projects will relate to major area of study. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,664,Management of Instructional Telecommunication Systems,3,"Management of Instructional Telecommunication Systems. Analysis of instructional telecommunications needs associated with educational and training programs; analysis, design, development, implementation and evaluation of computer-based management systems. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,668,Applications of Telecommunications in Education,3,"Instructional applications of telecommunications; analysis of characteristics of varied systems, both dedicated and public networks, and design of appropriate strategies and methods using those systems. Prerequisites: EDTC 645 or approval of instructor; approval of department head."
EDTC,683,Practicum in Educational Technology,3,"Supervised experience in applied area of educational technology; student will plan and develop an integrative product relating to educational technology theory, practice and equipment. Prerequisite: Approval of instructor and department head."
EDTC,684,Professional Internship,6,Supervised experiences in performing professional functions appropriate to career goals. Prerequisites: Application one month prior to registration; approval of instructor and department head.
EDTC,685,Directed Studies,4,Directed individual study of selected problems in instructional technology not within thesis research and not covered by any other course. Prerequisite: Approval of instructor and department head.
EDTC,689,Special Topics in...,4,Selected topics in an identified area of educational technology. May be repeated for credit. Prerequisite: Approval of instructor.
EDTC,691,Research,3,Research for thesis or dissertation. Prerequisite: Approval of major advisor and department head.
EHRD,101,Learning Community of Leadership Development in Human Resource Development and Technology Management,1,"Exploration of leadership identity, reflection on lessons learned during the first year of college."
EHRD,203,Foundations of Human Resource Development,3,"Overview of the discipline and field of human resource development; focus on how individuals and groups learn and interact with organizations including motivation, group dynamics, systems theory, organizational culture, learning and change. Prerequisite: Sophomore classification."
EHRD,210,Legal and Ethical Environment of Human Resource Development,3,Development of knowledge towards legal and ethical work environment in a corporate and educational setting in human resource development. Prerequisite: Sophomore classification.
EHRD,285,Directed Studies,2,Directed readings or research problems in industrial education. Prerequisites: Freshman or sophomore classification; approval or directed studies application.
EHRD,289,Special Topics in...,4,Selected topics in an identified area of industrial educational.  May be repeated for credit. Prerequisite: Approval of instructor.
EHRD,291,Research,4,Research conducted under the direction of faculty member in educational human resource development. May be repeated 2 times for credit. Prerequisites: Freshman or sophomore classification and approval of instructor.
EHRD,315,Applied Human Resource Development in the Workplace,3,Training and development context and synthesis of general industry-standard human resource practices in workplace environments for human resource practitioners. Prerequisites: EHRD 203 and EHRD 210 with a grade of C or better; junior or senior classification.
EHRD,371,Applied Learning Principles,3,The overarching purpose of the course is to influence adult educators to make more intentional choices toward developmental growth in their work with adult learners; focus on adult learning theories and work strategies; meets writing intensive course requirement. Prerequisites: Junior or senior classification and approval of instructor.
EHRD,372,Learning and Development in HRD,3,"Concepts, knowledge and skills to access, design, develop, deliver and evaluate training programs; foundation of understanding roles of learning, training and development in organizations and systematic and evidence-based approach for designing and managing quality training programs in organizations. Prerequisites: Grade of C or better in EHRD 203 and EHRD 210; junior or senior classification; or approval of instructor."
EHRD,374,Organizational Development,3,"Introduction to major theories, concepts, skills and techniques for organization development in business and industry, education and the public sector. Prerequisites: Grade of C or better in EHRD 203 and EHRD 210; junior or senior classification; or approval of instructor."
EHRD,391,Measurement and Evaluation in Human Resource Development and Technology Management,3,"Measurement and evaluation techniques in the field of Human Resource Development and Technology Management; emphasis on understanding, calculation and application of basic testing, assessment and interpretation methods. Prerequisites: Junior or senior classification or approval of instructor; EHRD 203 with a grade of C or better; MATH 141 and MATH 142."
EHRD,405,Principles and Practices of Leadership in Human Resource Development and Technology Management,3,Theories and concepts associated with learning in individuals and organizations; overview of leadership theories and learning theories within a context of developing leadership programs. Prerequisites: Junior or senior classification and approval of instructor.
EHRD,408,Globalization and Diversity in the Workplace,3,"Assist learners in the identification and understanding of globalization and diversity issues in learning, work and community; exploration of current issues, theories, trends and policy issues. Prerequisites: Junior or senior classification and approval of instructor."
EHRD,413,Conflict Management and Dialogue,3,Conflict management principles and practices in the workplace; engagement in meaningful conflict from a training and development perspective. Prerequisites: Grade of C or better in EHRD 203 and EHRD 210; junior or senior classification; or approval of instructor.
EHRD,473,Distance Learning Applications,3,Application of distance learning principles to educational and training settings via a variety of distance learning modalities. Prerequisites: Junior or senior classification and approval of instructor.
